Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Include?,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,size ratio,cv,numtrials,rangeeaten,prop fully eaten,,'Type2_Rsquare','Type2_AIC','Type2a_lowCI','Type2a_median','Type2a_upCI','Type2h_lowCI','Type2h_median','Type2h_upCI','Type3_Rsquare','Type3_AIC','Type3a_lowCI','Type3a_median','Type3a_upCI','Type3h_lowCI','Type3h_median','Type3h_upCI','Type3q_lowCI','Type3q_median','Type3q_upCI'
21,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,20,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,21,200,0.41,-9.67,1.06E-03,7.34E-04,1.63E-03,1.32E-01,9.47E-04,2.50E-01,,,0.95,0.41,60,1.9,0,,0.41,-9.67,1.06E-03,7.34E-04,1.63E-03,1.32E-01,9.47E-04,2.50E-01,0.42,-8.36,0.007775669,0.000434495,0.037137022,1.35E-07,4.28E-10,0.194750936,-0.291643548,-0.491291385,0.141059265
22,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,25,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,22,200,0.46,3.97,1.51E-03,9.82E-04,2.75E-03,1.18E-01,4.08E-02,1.97E-01,,,0.95,0.37,60,2.4,0,,0.46,3.97,1.51E-03,9.82E-04,2.75E-03,1.18E-01,4.08E-02,1.97E-01,0.47,4.2,0.017695713,0.002351622,0.060432796,8.54E-08,2.43E-09,0.109754512,-0.363376905,-0.5,-0.125063513
23,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,30,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,23,200,0.49,6.34,2.40E-03,1.71E-03,3.76E-03,1.30E-01,8.26E-02,1.69E-01,,,0.95,0.36,60,2.9,0,,0.49,6.34,2.40E-03,1.71E-03,3.76E-03,1.30E-01,8.26E-02,1.69E-01,0.51,7.12,0.040089503,0.003000592,0.084249718,4.28E-07,6.88E-10,0.136838272,-0.436277577,-0.5,-0.003528186
24,Hoque et al 2010 UNIV J ZOOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Arachnid,Mite,Phytoseiulus persimilis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Adult female,2,Mean,1,N,,35,,1,1.13E+02,,6.66E-02,Alternate species length,1,7.03E-02,Alternate species length,3,m^2 per pred per day,24,200,0.49,19.94,2.12E-03,1.51E-03,3.60E-03,1.07E-01,5.06E-02,1.67E-01,,,0.95,0.35,60,2.9,0,,0.49,19.94,2.12E-03,1.51E-03,3.60E-03,1.07E-01,5.06E-02,1.67E-01,0.5,19.55,0.027918126,0.002895812,0.086875523,9.77E-08,1.43E-09,0.101998428,-0.389295265,-0.5,-0.072498968
25,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,4th instar,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,24,26,,1,1.77E+00,,2.33E-01,% adult mass,3,2.11E-03,Alternate species length,2,m^2 per pred per day,25,200,0.14,292.03,1.93E-04,1.00E-04,4.92E-04,1.83E-02,3.80E-03,3.03E-02,,,110.13,0.18,60,12.83,0,,0.14,292.03,1.93E-04,1.00E-04,4.92E-04,1.83E-02,3.80E-03,3.03E-02,0.15,293.98,2.79E-05,3.78E-07,0.101903096,1.98E-02,1.01E-08,0.031123045,0.175863103,-0.499999517,0.499999693
26,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,5th instar,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,24,26,,1,1.77E+00,,,,,2.11E-03,Alternate species length,2,m^2 per pred per day,26,200,0.17,307.24,2.00E-04,1.11E-04,4.15E-04,1.41E-02,1.46E-03,2.32E-02,,,0,0.19,60,15.74,0,,0.17,307.24,2.00E-04,1.11E-04,4.15E-04,1.41E-02,1.46E-03,2.32E-02,0.18,309.36,7.02E-05,4.15E-07,0.08313722,1.38E-02,5.28E-09,0.025697891,0.10490515,-0.49999611,0.499999787
27,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult male,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,24,26,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,27,200,0.2,287.67,1.50E-04,9.30E-05,3.18E-04,1.57E-02,1.53E-03,2.75E-02,,,172.93,0.21,60,13.99,0,,0.2,287.67,1.50E-04,9.30E-05,3.18E-04,1.57E-02,1.53E-03,2.75E-02,0.2,289.43,7.43E-07,3.01E-07,0.050991582,1.93E-02,1.45E-08,0.030715098,0.498705353,-0.499996387,0.499999787
28,El-Basha et al 2012 J ENTOMOL,Predator,2,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Orius albidipennis,Adult female,3,Metazoan,Invertebrate,Arachnid,Mite,Red spider mite,Tetranychus urticae,Egg,2,Mean,0,N,24,26,,1,1.77E+00,,3.66E-01,Average genus mass,4,2.11E-03,Alternate species length,2,m^2 per pred per day,28,200,0.15,323.5,2.41E-04,1.40E-04,4.71E-04,1.35E-02,4.38E-03,2.03E-02,,,172.93,0.19,60,17.49,0,,0.15,323.5,2.41E-04,1.40E-04,4.71E-04,1.35E-02,4.38E-03,2.03E-02,0.16,325.49,1.32E-06,4.82E-07,0.081179365,1.60E-02,2.32E-08,0.023092467,0.485115288,-0.499997058,0.499999779
29,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult female (newly emerged),3,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2,Raw data,1,N,,27,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,2,2.37E+00,% adult mass,2,m^2.5 per pred per day,29,200,0.43,88.23,5.28E-03,3.79E-03,7.99E-03,6.78E-02,5.04E-02,8.43E-02,,,169.26,0.46,42,15.33,0,,0.43,88.23,5.28E-03,3.79E-03,7.99E-03,6.78E-02,5.04E-02,8.43E-02,0.45,88.96,0.000149802,0.000103192,0.000514848,0.085736846,0.068531742,0.099781211,0.499999903,0.316122417,0.5
30,Rocha and Redaelli 2004 BRAZ J BIOL,Predator,2.5,,Terrestrial,,Metazoan,Invertebrate,Insect,Hemiptera,Cosmoclopius nigroannulatus,Adult male (newly emerged),3,Metazoan,Invertebrate,Insect,Hemiptera,,Spartocera dentiventris,1st instar,2,Raw data,1,N,,27,,1,1.33E+02,1.19E+03,4.01E+02,Alternate family length,1,2.37E+00,% adult mass,2,m^2.5 per pred per day,30,200,0.38,46.66,2.86E-03,1.61E-03,5.34E-03,1.03E-01,3.69E-02,1.52E-01,,,169.26,0.47,40,8.64,0,,0.38,46.66,2.86E-03,1.61E-03,5.34E-03,1.03E-01,3.69E-02,1.52E-01,0.39,47.8,3.66E-02,0.000115966,0.107997829,1.20E-02,2.21E-09,0.168869973,-0.386978898,-0.5,0.499999971
31,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,0,N,24,14.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,31,200,0.82,106.56,1.70E-06,1.20E-06,2.28E-06,1.99E-02,9.30E-03,2.87E-02,,,#DIV/0!,0.76,30,55.79,0,,0.82,106.56,1.70E-06,1.20E-06,2.28E-06,1.99E-02,9.30E-03,2.87E-02,0.82,107.25,3.28E-08,4.86E-09,2.66E-05,0.023845328,0.004533581,0.033899022,0.349248171,-0.263427191,0.499999986
32,DeBlois and Leggett 1991 MAR ECOL PROG SER,Predator,3,,Aquatic,Marine,Metazoan,Invertebrate,Crustacean,Amphipod,Calliopius laeviusculus,Adult?,,Metazoan,Vertebrate,Fish,Osmeridae,Capelin,Mallotus villosus,Egg,,Raw data,0,N,24,7.5,,,,1.00E+03,1.09E+01,Alternate species length,1,,,,m^3 per pred per day,32,200,0.59,119.21,2.22E-06,1.25E-06,3.49E-06,2.98E-02,1.80E-02,3.97E-02,,,#DIV/0!,0.63,30,41.12,0,,0.59,119.21,2.22E-06,1.25E-06,3.49E-06,2.98E-02,1.80E-02,3.97E-02,0.59,121,1.37E-05,2.09E-08,0.000445479,0.025329263,1.02E-07,0.038174239,-0.167939564,-0.499999358,0.444703324
