Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or Marine,Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Trophic level predator,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Trophic level prey,Data type,Include?,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2) (bottom SA),3D arena size (cm3),Predator mass (mg),Predator mass source code,Predator mass identifier,Prey mass (mg),Prey mass source code,Prey mass identifier,Units of a,Data set,Number of bootstraps,Mean R2 of fits,AIC,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Notes 1,,size ratio,cv,numtrials,rangeeaten,prop fully eaten,,'Type2_Rsquare','Type2_AIC','Type2a_lowCI','Type2a_median','Type2a_upCI','Type2h_lowCI','Type2h_median','Type2h_upCI','Type3_Rsquare','Type3_AIC','Type3a_lowCI','Type3a_median','Type3a_upCI','Type3h_lowCI','Type3h_median','Type3h_upCI','Type3q_lowCI','Type3q_median','Type3q_upCI'
1250,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year C,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,6.10E+02,Original species length,11,3.09E+00,Original family length,3,m^2 per pred per day,1255,200,0.24,210.04,5.79E+01,2.61E+01,1.09E+02,1.16E-03,9.17E-04,1.47E-03,,,197.71,0.34,18,745.67,0,,0.24,210.04,5.79E+01,2.61E+01,1.09E+02,1.16E-03,9.17E-04,1.47E-03,0.28,212.12,1.718909835,0.855903798,16.52332939,0.001174477,0.000933703,0.001489353,0.499999812,0.109793207,0.49999998
1251,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year C,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva A,,Mean,1,N,24,21,,1,,7.20E+04,6.10E+02,Original species length,11,2.13E+01,Original species length,24,m^3 per pred per day,1256,200,0.34,166.92,5.73E+00,2.98E+00,1.85E+01,2.36E-03,6.80E-11,5.79E-03,,,28.6,0.6,18,211.49,0,,0.34,166.92,5.73E+00,2.98E+00,1.85E+01,2.36E-03,6.80E-11,5.79E-03,0.35,169.27,0.463344773,0.145142383,12.01414676,3.12E-03,2.34E-14,0.006415462,0.499999624,-0.165152989,0.499999994
1252,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year D,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,1.22E+03,Original species length,10,3.76E-01,Original genus length,2,m^3 per pred per day,1257,200,0.31,277.15,7.97E+00,4.89E+00,2.92E+01,1.47E-04,1.22E-04,1.79E-04,,,3244.93,0.33,18,4658.79,0,,0.31,277.15,7.97E+00,4.89E+00,2.92E+01,1.47E-04,1.22E-04,1.79E-04,0.34,279.2,0.374363366,0.041587621,1074.661585,0.000148945,0.000125362,0.000179403,0.341813923,-0.469487596,0.499999982
1253,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year D,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,1.22E+03,Original species length,10,3.09E+00,Original family length,3,m^2 per pred per day,1258,200,0.67,215.77,3.74E+01,2.06E+01,7.39E+01,4.81E-04,3.55E-04,5.94E-04,,,394.87,0.41,18,1304.9,0,,0.67,215.77,3.74E+01,2.06E+01,7.39E+01,4.81E-04,3.55E-04,5.94E-04,0.68,217.89,32.25879302,0.613951348,2271.308469,0.000473012,0.000213344,0.000608377,0.005300797,-0.49999994,0.499999928
1254,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year D,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva B,,Mean,1,N,24,21,,1,,7.20E+04,1.22E+03,Original species length,10,4.31E+01,Original species length,23,m^3 per pred per day,1259,200,0.06,152.29,4.15E+01,2.00E+01,2.18E+02,6.65E-03,5.00E-03,8.18E-03,,,28.29,0.33,18,111.56,0,,0.06,152.29,4.15E+01,2.00E+01,2.18E+02,6.65E-03,5.00E-03,8.18E-03,0.08,154.92,2.640441088,1.330229091,9.280035247,0.00676541,0.005239104,0.008203433,0.499999648,0.499997313,0.499999992
1255,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year E,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,2.14E+03,Original species length,9,3.76E-01,Original genus length,2,m^3 per pred per day,1260,200,0.54,280.86,2.92E+00,1.07E+00,8.41E+00,1.11E-04,7.71E-05,1.41E-04,,,5710.42,0.49,18,6517.63,0,,0.54,280.86,2.92E+00,1.07E+00,8.41E+00,1.11E-04,7.71E-05,1.41E-04,0.58,281.76,218.4906122,0.055180353,617.2805855,8.77E-05,3.35E-05,0.00012813,-0.499995968,-0.5,0.499999573
1256,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year E,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,2.14E+03,Original species length,9,3.09E+00,Original family length,3,m^2 per pred per day,1261,200,0.68,233.42,4.35E+01,2.33E+01,9.15E+01,3.23E-04,2.33E-04,3.99E-04,,,694.89,0.52,18,2724.59,0,,0.68,233.42,4.35E+01,2.33E+01,9.15E+01,3.23E-04,2.33E-04,3.99E-04,0.7,235.6,109.0950864,0.705868988,3076.689965,3.02E-04,7.99E-05,0.000419991,-0.122335321,-0.499999992,0.499999966
1257,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year E,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva C,,Mean,1,N,24,21,,1,,7.20E+04,2.14E+03,Original species length,9,7.65E+01,Original species length,22,m^3 per pred per day,1262,200,0.32,150.22,8.21E+00,3.65E+00,6.99E+01,4.45E-03,2.46E-03,6.64E-03,,,28.03,0.44,18,160.03,0,,0.32,150.22,8.21E+00,3.65E+00,6.99E+01,4.45E-03,2.46E-03,6.64E-03,0.33,152.81,0.924187715,0.297032497,364.7275709,4.91E-03,5.26E-07,0.006416615,0.499998297,-0.499999999,0.499999957
1258,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year F,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,3.46E+03,Original species length,8,3.76E-01,Original genus length,2,m^3 per pred per day,1263,200,0.5,290.72,2.87E+00,1.54E+00,4.40E+00,1.26E-04,7.13E-05,1.88E-04,,,9208.8,0.72,18,7178.51,0,,0.5,290.72,2.87E+00,1.54E+00,4.40E+00,1.26E-04,7.13E-05,1.88E-04,0.54,292.3,0.030507604,0.015947284,0.135069451,1.31E-04,7.69E-05,0.000190965,0.499999929,0.280888054,0.499999999
1259,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year F,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,3.46E+03,Original species length,8,3.09E+00,Original family length,3,m^2 per pred per day,1264,200,0.43,337.91,3.53E+02,1.24E+02,1.00E+03,2.90E-05,1.13E-05,4.53E-05,,,1120.59,0.6,18,30081.28,0,,0.43,337.91,3.53E+02,1.24E+02,1.00E+03,2.90E-05,1.13E-05,4.53E-05,0.44,340.53,7.988214748,0.809154309,79821.27343,2.94E-05,4.69E-12,4.73E-05,0.340869227,-0.499999398,0.49999996
1260,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year F,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva D,,Mean,1,N,24,21,,1,,7.20E+04,3.46E+03,Original species length,8,1.24E+02,Original species length,21,m^3 per pred per day,1265,200,0.34,152.26,1.10E+01,3.90E+00,3.76E+01,4.00E-03,1.11E-03,5.68E-03,,,27.81,0.37,18,128.03,0,,0.34,152.26,1.10E+01,3.90E+00,3.76E+01,4.00E-03,1.11E-03,5.68E-03,0.37,154.74,1.329558778,0.440295614,160.8826122,4.39E-03,2.18E-09,0.005895868,0.499999115,-0.499999985,0.499999967
1261,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year G,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,5.23E+03,Original species length,7,3.76E-01,Original genus length,2,m^3 per pred per day,1266,200,0.35,280.06,2.76E+00,1.56E+00,1.03E+01,1.53E-04,9.37E-05,2.06E-04,,,13930.86,0.47,18,4566.29,0,,0.35,280.06,2.76E+00,1.56E+00,1.03E+01,1.53E-04,9.37E-05,2.06E-04,0.36,282.67,0.614994983,0.00936508,509.9099367,0.000154334,9.66E-05,0.000207619,0.17636691,-0.499998,0.499999864
1262,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year G,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,5.23E+03,Original species length,7,3.09E+00,Original family length,3,m^2 per pred per day,1267,200,0.74,239.06,3.21E+01,2.11E+01,5.27E+01,2.51E-04,1.89E-04,3.00E-04,,,1695.21,0.66,18,2977.06,0,,0.74,239.06,3.21E+01,2.11E+01,5.27E+01,2.51E-04,1.89E-04,3.00E-04,0.76,239.91,0.499856576,0.27208586,149.8752621,0.000274123,0.000204381,0.000318106,0.499999813,-0.158582873,0.499999986
1263,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year G,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva E,,Mean,1,N,24,21,,1,,7.20E+04,5.23E+03,Original species length,7,1.89E+02,Original species length,20,m^3 per pred per day,1268,200,0.52,167.6,5.40E+00,3.77E+00,1.79E+01,7.29E-10,2.94E-11,3.59E-03,,,27.63,0.62,18,351.39,0,,0.52,167.6,5.40E+00,3.77E+00,1.79E+01,7.29E-10,2.94E-11,3.59E-03,0.54,170.18,2.226241754,0.15085434,176.0728983,3.18E-14,2.34E-14,0.003236677,0.129894786,-0.49997206,0.499999977
1264,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year H,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,7.54E+03,Original species length,6,3.76E-01,Original genus length,2,m^3 per pred per day,1269,200,0.25,264.62,9.38E-01,7.76E-02,1.09E+01,3.01E-04,1.03E-10,5.00E-04,,,20070.16,0.47,18,2600.78,0,,0.25,264.62,9.38E-01,7.76E-02,1.09E+01,3.01E-04,1.03E-10,5.00E-04,0.29,266.19,49.43272378,0.050490382,249.8895997,2.20E-04,2.34E-14,0.000439725,-0.499998548,-0.5,0.318861173
1265,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year H,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,7.54E+03,Original species length,6,3.09E+00,Original family length,3,m^2 per pred per day,1270,200,0.57,238.71,3.14E+01,1.41E+01,7.18E+01,3.52E-04,2.35E-04,4.41E-04,,,2442.29,0.55,18,2332.86,0,,0.57,238.71,3.14E+01,1.41E+01,7.18E+01,3.52E-04,2.35E-04,4.41E-04,0.58,240.96,1.258781509,0.319029396,1888.771387,3.53E-04,1.46E-05,0.000474644,0.484862846,-0.499999999,0.499999976
1266,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year H,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva F,,Mean,1,N,24,21,,1,,7.20E+04,7.54E+03,Original species length,6,2.74E+02,Original species length,19,m^3 per pred per day,1271,200,0.41,161.16,6.53E+00,4.00E+00,1.41E+01,2.21E-03,9.81E-11,4.25E-03,,,27.47,0.56,18,214.63,0,,0.41,161.16,6.53E+00,4.00E+00,1.41E+01,2.21E-03,9.81E-11,4.25E-03,0.42,163.84,0.478808948,0.199018526,71.89437377,2.93E-03,3.41E-14,0.004677786,0.499999303,-0.447799018,0.499999964
1267,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year I,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,1.04E+04,Original species length,5,3.76E-01,Original genus length,2,m^3 per pred per day,1272,200,0.3,294.92,1.66E+00,1.17E-01,6.58E+00,1.35E-04,1.17E-10,2.38E-04,,,27822.68,0.59,18,6702.44,0,,0.3,294.92,1.66E+00,1.17E-01,6.58E+00,1.35E-04,1.17E-10,2.38E-04,0.32,297,0.052020499,0.005838923,203.883058,1.25E-04,2.34E-14,0.000225967,0.499953546,-0.5,0.49999999
1268,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year I,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,1.04E+04,Original species length,5,3.09E+00,Original family length,3,m^2 per pred per day,1273,200,0.72,243.85,3.07E+01,1.51E+01,6.82E+01,2.13E-04,1.60E-04,2.71E-04,,,3385.67,0.63,18,3566.67,0,,0.72,243.85,3.07E+01,1.51E+01,6.82E+01,2.13E-04,1.60E-04,2.71E-04,0.74,245.88,107.1241295,0.447818474,2171.131334,1.88E-04,2.83E-06,0.000274632,-0.141481545,-0.5,0.499999944
1269,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year I,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva G,,Mean,1,N,24,21,,1,,7.20E+04,1.04E+04,Original species length,5,3.82E+02,Original species length,18,m^3 per pred per day,1274,200,0.52,149.4,8.84E+00,4.87E+00,2.37E+01,3.01E-03,1.59E-03,4.58E-03,,,27.32,0.43,18,174.85,0,,0.52,149.4,8.84E+00,4.87E+00,2.37E+01,3.01E-03,1.59E-03,4.58E-03,0.54,151.86,0.729755315,0.378448452,131.9830145,3.66E-03,2.90E-05,0.004899813,0.499999734,-0.499993017,0.499999977
1270,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year J,3,Metazoan,Invertebrate,Crustacean,Cladoceran,Zooplankton,Daphnia spp.,,2,Mean,1,N,24,21,,1,,7.20E+04,3.67E+04,Original species length,4,3.76E-01,Original genus length,2,m^3 per pred per day,1275,200,0.1,145.76,4.52E-02,1.23E-03,1.02E-01,1.47E-02,1.67E-09,2.45E-02,,,97787.17,0.75,18,93.19,0,,0.1,145.76,4.52E-02,1.23E-03,1.02E-01,1.47E-02,1.67E-09,2.45E-02,0.14,147.6,0.000860975,0.000418417,1.832420229,0.014741272,0.006119917,0.024024455,0.499999799,-0.499996191,0.5
1271,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,2,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year J,,Metazoan,Invertebrate,Insect,Diptera,Benthos,Chironomidae,Larva,,Mean,1,N,24,21,,1,,7.20E+04,3.67E+04,Original species length,4,3.09E+00,Original family length,3,m^2 per pred per day,1276,200,0.71,238.61,1.57E+01,6.82E+00,3.06E+01,2.47E-04,7.19E-05,4.10E-04,,,11899.47,0.78,18,2730.47,0,,0.71,238.61,1.57E+01,6.82E+00,3.06E+01,2.47E-04,7.19E-05,4.10E-04,0.73,240.49,0.522161132,0.171657376,423.3381294,2.81E-04,3.32E-11,0.000439244,0.471916599,-0.454868502,0.499999979
1272,Galarowicz & Wahl 2005 CAN J FISH AQUAT SCI,Predator,3,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sander vitreus,Young of the year J,,Metazoan,Vertebrate,Fish,Centrarchidae,Bluegill,Lepomis macrochirus,Larva H,,Mean,1,N,24,21,,1,,7.20E+04,3.67E+04,Original species length,4,1.37E+03,Original species length,17,m^3 per pred per day,1277,200,0.19,156.2,2.77E+00,1.29E+00,2.79E+01,1.26E-03,6.98E-11,1.18E-02,,,26.77,0.48,18,117.05,0,,0.19,156.2,2.77E+00,1.29E+00,2.79E+01,1.26E-03,6.98E-11,1.18E-02,0.2,158.51,1.078170572,0.073900027,142.6064904,3.54E-08,2.34E-14,0.010505446,0.239100466,-0.5,0.499999965
1273,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1278,200,0.56,299.51,4.32E-04,2.25E-04,8.42E-04,4.94E-04,1.86E-04,8.19E-04,,,0,0.73,24,1342.01,0,,0.56,299.51,4.32E-04,2.25E-04,8.42E-04,4.94E-04,1.86E-04,8.19E-04,0.58,300.96,4.59E-07,2.06E-07,0.025565771,6.03E-04,4.32E-10,0.000895719,0.499999395,-0.315539046,0.499999993
1274,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1279,200,0.61,329.12,1.21E-03,8.83E-04,1.65E-03,2.52E-04,1.41E-04,3.24E-04,,,0,0.74,24,3642.03,0,,0.61,329.12,1.21E-03,8.83E-04,1.65E-03,2.52E-04,1.41E-04,3.24E-04,0.65,329.26,9.31E-07,6.21E-07,1.29E-05,0.000288492,0.000175645,0.00035595,0.499999835,0.318014821,0.499999999
1275,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1280,200,0.83,303.21,8.18E-04,5.75E-04,1.20E-03,2.27E-04,1.61E-04,2.89E-04,,,0,0.74,24,3095.38,0,,0.83,303.21,8.18E-04,5.75E-04,1.20E-03,2.27E-04,1.61E-04,2.89E-04,0.85,303.83,1.66E-06,4.77E-07,0.081650598,0.000273649,5.84E-05,0.000343378,0.431507556,-0.337028176,0.499999986
1276,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1281,200,0.97,308.76,7.88E-04,6.48E-04,9.74E-04,2.19E-05,2.91E-12,4.06E-05,,,0,1.03,24,9594.04,0,,0.97,308.76,7.88E-04,6.48E-04,9.74E-04,2.19E-05,2.91E-12,4.06E-05,0.97,310.43,1.58E-03,1.91E-05,0.009435256,3.12E-06,2.35E-14,6.27E-05,-0.050802364,-0.165795329,0.264686432
1277,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1282,200,0.66,353.16,6.47E-04,4.26E-04,1.22E-03,6.29E-05,1.53E-12,2.37E-04,,,0,0.97,24,6331.45,0,,0.66,353.16,6.47E-04,4.26E-04,1.22E-03,6.29E-05,1.53E-12,2.37E-04,0.67,355.33,9.26E-05,2.80E-07,0.036446145,3.69E-05,2.34E-14,0.000280536,0.122659276,-0.283645206,0.499999964
1278,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rotundiformis,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,3.54E-03,Original species length,1,m^3 per pred per day,1283,200,0.89,332.8,2.69E-03,1.96E-03,3.77E-03,9.53E-05,6.66E-05,1.22E-04,,,0,0.63,24,7362.27,0,,0.89,332.8,2.69E-03,1.96E-03,3.77E-03,9.53E-05,6.66E-05,1.22E-04,0.89,334.39,6.71E-04,2.41E-06,0.10351482,9.93E-05,4.63E-05,0.000136543,0.098582624,-0.262970022,0.499999618
1279,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,1wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1284,200,0.79,312.32,2.83E-04,2.01E-04,4.38E-04,4.76E-05,2.95E-12,2.38E-04,,,0,1.1,24,3548.07,0,,0.79,312.32,2.83E-04,2.01E-04,4.38E-04,4.76E-05,2.95E-12,2.38E-04,0.8,314.37,1.37E-05,1.36E-07,0.005812923,1.02E-04,2.34E-14,0.000312626,0.200975588,-0.19751892,0.499999951
1280,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,2wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1285,200,0.98,306.59,7.37E-04,7.03E-04,8.46E-04,3.74E-12,1.18E-13,1.24E-05,,,0,1.17,24,11433.8,0,,0.98,306.59,7.37E-04,7.03E-04,8.46E-04,3.74E-12,1.18E-13,1.24E-05,0.98,305.68,7.59E-05,3.76E-07,0.000977476,1.75E-05,2.35E-14,4.50E-05,0.152041637,-0.015752472,0.497306593
1281,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,3wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1286,200,0.89,324.56,4.44E-04,3.64E-04,6.78E-04,7.05E-06,7.33E-13,7.16E-05,,,0,1.19,24,6560.97,0,,0.89,324.56,4.44E-04,3.64E-04,6.78E-04,7.05E-06,7.33E-13,7.16E-05,0.9,325.5,1.06E-06,2.12E-07,0.001330779,7.01E-05,2.34E-14,0.000132195,0.404457232,-0.077562515,0.499999988
1282,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,4wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1287,200,0.97,311.28,6.75E-04,6.07E-04,8.00E-04,1.05E-05,5.68E-13,3.06E-05,,,0,1.13,24,9498.95,0,,0.97,311.28,6.75E-04,6.07E-04,8.00E-04,1.05E-05,5.68E-13,3.06E-05,0.97,311.77,9.60E-06,3.36E-07,0.002524347,4.04E-05,8.50E-12,7.20E-05,0.280189659,-0.082934821,0.499999988
1283,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,5wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1288,200,0.98,305.66,7.45E-04,6.83E-04,8.57E-04,5.14E-06,2.03E-13,1.97E-05,,,0,1.17,24,11106.58,0,,0.98,305.66,7.45E-04,6.83E-04,8.57E-04,5.14E-06,2.03E-13,1.97E-05,0.98,303.37,9.54E-06,3.89E-07,0.001011605,3.48E-05,3.58E-11,5.37E-05,0.292219003,-0.015322879,0.499999965
1284,Morales-Ventura et al 2004 J APPL ICHTHYOL,Predator,3,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Atheriniformes,Chirostoma riojai,6wk old larva,3,Metazoan,Invertebrate,Rotifer,Brachionidae,Rotifer,Brachionus rubens,,2,Mean,1,N,2,25,,2,,5.00E+01,,,,2.76E-03,Original species length,1,m^3 per pred per day,1289,200,0.95,343.54,3.50E-03,2.85E-03,4.16E-03,4.60E-05,3.38E-05,5.65E-05,,,0,0.72,24,14554.82,0,,0.95,343.54,3.50E-03,2.85E-03,4.16E-03,4.60E-05,3.38E-05,5.65E-05,0.95,345.29,4.01E-03,3.36E-05,0.176089457,4.49E-05,1.04E-05,6.50E-05,-0.009596143,-0.289373329,0.332733416
